product_name,product_slug,page_url,image_url,image_file,is_primary
Диван Манила 2-х местный натуральный,divan_manila_2_kh_mestnyi_naturalnyi,https://kudos.pifakit.ru/article/712,https://kudos.pifakit.ru/uploads/article_photo/image/712/5f3eb413-234c-4305-9b09-a961ee31b460.jpg,divan_manila_2_kh_mestnyi_naturalnyi\02.jpg,False
Диван Манила 2-х местный белый,divan_manila_2_kh_mestnyi_belyi,https://kudos.pifakit.ru/article/702,https://kudos.pifakit.ru/uploads/article_photo/image/702/ec389088-17d7-4708-8328-7b6b000377ea.jpg,divan_manila_2_kh_mestnyi_belyi\01_main.jpg,True
Диван Манила 2-х местный белый,divan_manila_2_kh_mestnyi_belyi,https://kudos.pifakit.ru/article/702,https://kudos.pifakit.ru/uploads/article_photo/image/702/7affc13b-d6ec-4f10-90d4-0d2caea11120.jpg,divan_manila_2_kh_mestnyi_belyi\02.jpg,False
Диван Манила 2-х местный чёрный,divan_manila_2_kh_mestnyi_chernyi,https://kudos.pifakit.ru/article/701,https://kudos.pifakit.ru/uploads/article_photo/image/701/b4ef4790-a728-46f0-b268-0c9a39aa325f.jpg,divan_manila_2_kh_mestnyi_chernyi\01_main.jpg,True
Диван Манила 2-х местный чёрный,divan_manila_2_kh_mestnyi_chernyi,https://kudos.pifakit.ru/article/701,https://kudos.pifakit.ru/uploads/article_photo/image/701/4ab9b13b-8b3e-4534-adc3-e2b28c4e363a.jpg,divan_manila_2_kh_mestnyi_chernyi\02.jpg,False
Кресло Манила натуральный,kreslo_manila_naturalnyi,https://kudos.pifakit.ru/article/713,https://kudos.pifakit.ru/uploads/article_photo/image/713/d3179172-f362-469e-964d-481a8c0e71c8.jpg,kreslo_manila_naturalnyi\01_main.jpg,True
Кресло Манила натуральный,kreslo_manila_naturalnyi,https://kudos.pifakit.ru/article/713,https://kudos.pifakit.ru/uploads/article_photo/image/713/7967d55a-5e07-4deb-a7cc-40bdfa9ffe97.jpg,kreslo_manila_naturalnyi\02.jpg,False
Кресло Манила чёрный,kreslo_manila_chernyi,https://kudos.pifakit.ru/article/714,https://kudos.pifakit.ru/uploads/article_photo/image/714/1c2692bb-7991-4c31-8e69-03b782fdd595.jpg,kreslo_manila_chernyi\01_main.jpg,True
Кресло Манила чёрный,kreslo_manila_chernyi,https://kudos.pifakit.ru/article/714,https://kudos.pifakit.ru/uploads/article_photo/image/714/f2174633-6f30-4cfe-b441-e8b1e2097c3f.jpg,kreslo_manila_chernyi\02.jpg,False
Кресло Манила белый,kreslo_manila_belyi,https://kudos.pifakit.ru/article/715,https://kudos.pifakit.ru/uploads/article_photo/image/715/59444547-b135-45fd-8d67-a9961cbc36e2.jpg,kreslo_manila_belyi\01_main.jpg,True
Кресло Манила белый,kreslo_manila_belyi,https://kudos.pifakit.ru/article/715,https://kudos.pifakit.ru/uploads/article_photo/image/715/61e357fb-5ffa-4ee4-a533-ae7cb562f393.jpg,kreslo_manila_belyi\02.jpg,False
Диван Офис Вайт белый,divan_ofis_vait_belyi,https://kudos.pifakit.ru/article/378,https://kudos.pifakit.ru/uploads/article_photo/image/378/6b6041fd-5041-42eb-bbfb-d453d2a73266.jpg,divan_ofis_vait_belyi\01_main.jpg,True
Диван Офис Блэк чёрный,divan_ofis_blek_chernyi,https://kudos.pifakit.ru/article/379,https://kudos.pifakit.ru/uploads/article_photo/image/379/dbeb90f3-95e0-4ddb-9719-97c6fd9fcdb6.jpg,divan_ofis_blek_chernyi\01_main.jpg,True
Диван Офис Блэк чёрный,divan_ofis_blek_chernyi,https://kudos.pifakit.ru/article/379,https://kudos.pifakit.ru/uploads/article_photo/image/379/a336e2b1-0678-4521-a13e-569ccf1102ae.jpg,divan_ofis_blek_chernyi\02.jpg,False
Кресло Офис Блэк чёрный,kreslo_ofis_blek_chernyi,https://kudos.pifakit.ru/article/380,https://kudos.pifakit.ru/uploads/article_photo/image/380/88d99f25-7ac1-4d8b-b4af-593873e54a5d.jpg,kreslo_ofis_blek_chernyi\01_main.jpg,True
Кресло Офис Блэк чёрный,kreslo_ofis_blek_chernyi,https://kudos.pifakit.ru/article/380,https://kudos.pifakit.ru/uploads/article_photo/image/380/d8f3d2df-0487-4ab8-ba43-abd97275b5fc.jpg,kreslo_ofis_blek_chernyi\02.jpg,False
Кресло Офис Вайт белый,kreslo_ofis_vait_belyi,https://kudos.pifakit.ru/article/381,https://kudos.pifakit.ru/uploads/article_photo/image/381/c8cd1c1e-aa46-437a-97d0-23f8eb4ce040.jpg,kreslo_ofis_vait_belyi\01_main.jpg,True
Диван Космо нежно-бежевый,divan_kosmo_nezhno_bezhevyi,https://kudos.pifakit.ru/article/382,https://kudos.pifakit.ru/uploads/article_photo/image/382/a585b683-3c1f-44ba-9578-39840173a7a3.jpg,divan_kosmo_nezhno_bezhevyi\01_main.jpg,True
Диван Космо нежно-бежевый,divan_kosmo_nezhno_bezhevyi,https://kudos.pifakit.ru/article/382,https://kudos.pifakit.ru/uploads/article_photo/image/382/db9dff56-244a-4718-9457-365efc14bf58.jpg,divan_kosmo_nezhno_bezhevyi\02.jpg,False
Кресло Космо нежно-бежевый,kreslo_kosmo_nezhno_bezhevyi,https://kudos.pifakit.ru/article/383,https://kudos.pifakit.ru/uploads/article_photo/image/383/2d96fcd7-b944-43c4-9155-f7452897df09.jpg,kreslo_kosmo_nezhno_bezhevyi\01_main.jpg,True
Кресло Космо нежно-бежевый,kreslo_kosmo_nezhno_bezhevyi,https://kudos.pifakit.ru/article/383,https://kudos.pifakit.ru/uploads/article_photo/image/383/23261289-4cd0-4e4b-941a-a7123f02b2bf.jpg,kreslo_kosmo_nezhno_bezhevyi\02.jpg,False
Диван Лорето белый,divan_loreto_belyi,https://kudos.pifakit.ru/article/384,https://kudos.pifakit.ru/uploads/article_photo/image/384/35c5dcd3-576d-4575-acff-e9876783da6b.jpg,divan_loreto_belyi\01_main.jpg,True
Диван Лорето белый,divan_loreto_belyi,https://kudos.pifakit.ru/article/384,https://kudos.pifakit.ru/uploads/article_photo/image/384/50af1091-e2a3-4071-9532-cda6cee8dda9.jpg,divan_loreto_belyi\02.jpg,False
Кресло Лорето белое,kreslo_loreto_beloe,https://kudos.pifakit.ru/article/385,https://kudos.pifakit.ru/uploads/article_photo/image/385/209867f1-6bdd-4e34-828e-97a066e90403.jpg,kreslo_loreto_beloe\01_main.jpg,True
Кресло Лорето белое,kreslo_loreto_beloe,https://kudos.pifakit.ru/article/385,https://kudos.pifakit.ru/uploads/article_photo/image/385/727c6d56-a762-4ab5-8438-039847ea0035.jpg,kreslo_loreto_beloe\02.jpg,False
Диван Реджи,divan_redzhi,https://kudos.pifakit.ru/article/758,https://kudos.pifakit.ru/uploads/article_photo/image/758/e87e77c8-98de-485d-8b58-aa44dab73a5a.jpg,divan_redzhi\01_main.jpg,True
Диван Реджи,divan_redzhi,https://kudos.pifakit.ru/article/758,https://kudos.pifakit.ru/uploads/article_photo/image/758/0913169a-b814-4e33-b555-80a10f6e6a56.jpg,divan_redzhi\02.jpg,False
Диван Реджи,divan_redzhi,https://kudos.pifakit.ru/article/758,https://kudos.pifakit.ru/uploads/article_photo/image/758/d8474fa7-857f-481c-a687-baf0c8912e43.jpg,divan_redzhi\03.jpg,False
Диван Риттен букле молочный,divan_ritten_bukle_molochnyi,https://kudos.pifakit.ru/article/386,https://kudos.pifakit.ru/uploads/article_photo/image/386/5136ed17-a110-4f02-8d24-fa349894b9ba.jpg,divan_ritten_bukle_molochnyi\01_main.jpg,True
Диван Риттен букле молочный,divan_ritten_bukle_molochnyi,https://kudos.pifakit.ru/article/386,https://kudos.pifakit.ru/uploads/article_photo/image/386/520b02df-21c8-4542-84d9-ddce1c45fc69.jpg,divan_ritten_bukle_molochnyi\02.jpg,False
Кресло Риттен букле молочный (Д80*Ш70*В75 см),kreslo_ritten_bukle_molochnyi_d80_sh70_v75_sm,https://kudos.pifakit.ru/article/387,https://kudos.pifakit.ru/uploads/article_photo/image/387/ad26676e-5f6c-4f35-ace9-7f1b72fa15e6.jpg,kreslo_ritten_bukle_molochnyi_d80_sh70_v75_sm\01_main.jpg,True
Кресло Риттен букле молочный (Д80*Ш70*В75 см),kreslo_ritten_bukle_molochnyi_d80_sh70_v75_sm,https://kudos.pifakit.ru/article/387,https://kudos.pifakit.ru/uploads/article_photo/image/387/0060cbe3-d16e-4301-8b7d-58904d4c42bd.jpg,kreslo_ritten_bukle_molochnyi_d80_sh70_v75_sm\02.jpg,False
Диван 2-х местный Фаро,divan_2_kh_mestnyi_faro,https://kudos.pifakit.ru/article/388,https://kudos.pifakit.ru/uploads/article_photo/image/388/c3be7ffd-1285-40f2-9561-6683f9b087ce.jpg,divan_2_kh_mestnyi_faro\01_main.jpg,True
Диван 2-х местный Фаро,divan_2_kh_mestnyi_faro,https://kudos.pifakit.ru/article/388,https://kudos.pifakit.ru/uploads/article_photo/image/388/0ad7c688-c198-484b-a8c7-2645816c4ecc.jpg,divan_2_kh_mestnyi_faro\02.jpg,False
Диван 2-х местный Фаро,divan_2_kh_mestnyi_faro,https://kudos.pifakit.ru/article/388,https://kudos.pifakit.ru/uploads/article_photo/image/388/77366969-a8cd-4d6d-b828-6916f961bca8.jpg,divan_2_kh_mestnyi_faro\03.jpg,False
Кресло Фаро,kreslo_faro,https://kudos.pifakit.ru/article/389,https://kudos.pifakit.ru/uploads/article_photo/image/389/191c42c6-5b6a-4297-8b43-c44072dff4c7.jpg,kreslo_faro\01_main.jpg,True
Кресло Фаро,kreslo_faro,https://kudos.pifakit.ru/article/389,https://kudos.pifakit.ru/uploads/article_photo/image/389/4bc5fd65-ce9a-429a-b1fc-4b7fae7aa480.jpg,kreslo_faro\02.jpg,False
Диван Джейми нежно-розовый,divan_dzheimi_nezhno_rozovyi,https://kudos.pifakit.ru/article/528,https://kudos.pifakit.ru/uploads/article_photo/image/528/e65a3105-d314-4cfa-80b4-6e11dd6d7e6c.jpg,divan_dzheimi_nezhno_rozovyi\01_main.jpg,True
Кресло Джейми,kreslo_dzheimi,https://kudos.pifakit.ru/article/529,https://kudos.pifakit.ru/uploads/article_photo/image/529/ebdaf310-8a43-4583-9cba-998f57bfb0f7.jpg,kreslo_dzheimi\01_main.jpg,True
Диван 3-х местный Фаро,divan_3_kh_mestnyi_faro,https://kudos.pifakit.ru/article/744,https://kudos.pifakit.ru/uploads/article_photo/image/744/5866750d-33bd-4894-ba08-95fd3cb28a6b.jpg,divan_3_kh_mestnyi_faro\01_main.jpg,True
Стрейч-чехол на коктейльный стол синий,streich_chekhol_na_kokteilnyi_stol_sinii,https://kudos.pifakit.ru/article/757,https://kudos.pifakit.ru/uploads/article_photo/image/757/c59e7a88-4d1d-4127-a28a-5f83d672ca00.jpg,streich_chekhol_na_kokteilnyi_stol_sinii\01_main.jpg,True
Стрейч-чехол на коктейльный стол синий,streich_chekhol_na_kokteilnyi_stol_sinii,https://kudos.pifakit.ru/article/757,https://kudos.pifakit.ru/uploads/article_photo/image/757/31929af8-cddc-446b-9dee-2e70bda54ea7.jpg,streich_chekhol_na_kokteilnyi_stol_sinii\02.jpg,False
Стрейч-чехол на коктейльный стол зелёный,streich_chekhol_na_kokteilnyi_stol_zelenyi,https://kudos.pifakit.ru/article/755,https://kudos.pifakit.ru/uploads/article_photo/image/755/2d7014d6-2ec2-417a-801c-50a882facbdf.jpg,streich_chekhol_na_kokteilnyi_stol_zelenyi\01_main.jpg,True
Стрейч-чехол на коктейльный стол зелёный,streich_chekhol_na_kokteilnyi_stol_zelenyi,https://kudos.pifakit.ru/article/755,https://kudos.pifakit.ru/uploads/article_photo/image/755/1e082d7f-cae4-4bf9-ad6a-b36f51bb51de.jpg,streich_chekhol_na_kokteilnyi_stol_zelenyi\02.jpg,False
Стрейч-чехол на коктейльный стол красный,streich_chekhol_na_kokteilnyi_stol_krasnyi,https://kudos.pifakit.ru/article/756,https://kudos.pifakit.ru/uploads/article_photo/image/756/4e5aaefc-c6fb-43b4-94cb-0f229aa34b6e.jpg,streich_chekhol_na_kokteilnyi_stol_krasnyi\01_main.jpg,True
Стрейч-чехол на коктейльный стол красный,streich_chekhol_na_kokteilnyi_stol_krasnyi,https://kudos.pifakit.ru/article/756,https://kudos.pifakit.ru/uploads/article_photo/image/756/70788dae-8823-4796-9b43-91379423e60c.jpg,streich_chekhol_na_kokteilnyi_stol_krasnyi\02.jpg,False
Стрейч-чехол на коктейльный стол белый,streich_chekhol_na_kokteilnyi_stol_belyi,https://kudos.pifakit.ru/article/376,https://kudos.pifakit.ru/uploads/article_photo/image/376/cb626368-826c-465b-8d75-f42ed0e8aba1.jpg,streich_chekhol_na_kokteilnyi_stol_belyi\01_main.jpg,True
Стрейч-чехол на коктейльный стол чёрный,streich_chekhol_na_kokteilnyi_stol_chernyi,https://kudos.pifakit.ru/article/377,https://kudos.pifakit.ru/uploads/article_photo/image/377/be183e1b-e407-435d-8b59-a9e2c4488f61.jpg,streich_chekhol_na_kokteilnyi_stol_chernyi\01_main.jpg,True
Стрейч-чехол на прямоугольный стол чёрный,streich_chekhol_na_priamougolnyi_stol_chernyi,https://kudos.pifakit.ru/article/375,https://kudos.pifakit.ru/uploads/article_photo/image/375/a0580979-6f68-4887-b406-67710beda3d5.jpg,streich_chekhol_na_priamougolnyi_stol_chernyi\01_main.jpg,True
Стрейч-чехол на прямоугольный стол чёрный,streich_chekhol_na_priamougolnyi_stol_chernyi,https://kudos.pifakit.ru/article/375,https://kudos.pifakit.ru/uploads/article_photo/image/375/b1e63356-3411-488a-91e2-edc93a9d9ea1.jpg,streich_chekhol_na_priamougolnyi_stol_chernyi\02.jpg,False
Стрейч-чехол на прямоугольный стол белый,streich_chekhol_na_priamougolnyi_stol_belyi,https://kudos.pifakit.ru/article/374,https://kudos.pifakit.ru/uploads/article_photo/image/374/0a833bc8-b7f4-46ae-9cd1-adc7344fc217.jpg,streich_chekhol_na_priamougolnyi_stol_belyi\01_main.jpg,True
Канделябр Нева,kandeliabr_neva,https://kudos.pifakit.ru/article/310,https://kudos.pifakit.ru/uploads/article_photo/image/310/e59c4443-ae4d-4fda-9487-91e9f4235562.jpg,kandeliabr_neva\01_main.jpg,True
Канделябр Нева,kandeliabr_neva,https://kudos.pifakit.ru/article/310,https://kudos.pifakit.ru/uploads/article_photo/image/310/fce5459b-6f19-4e25-8582-baf59dbc5f8a.jpg,kandeliabr_neva\02.jpg,False
Канделябр Герес,kandeliabr_geres,https://kudos.pifakit.ru/article/311,https://kudos.pifakit.ru/uploads/article_photo/image/311/7b277af3-41d8-46b6-9374-3c6c638e620f.jpg,kandeliabr_geres\01_main.jpg,True
Канделябр Агро,kandeliabr_agro,https://kudos.pifakit.ru/article/313,https://kudos.pifakit.ru/uploads/article_photo/image/313/65347fbf-2fd7-42c8-95b3-1d6248e7b075.jpg,kandeliabr_agro\01_main.jpg,True
Набор подсвечников Монтана золотой,nabor_podsvechnikov_montana_zolotoi,https://kudos.pifakit.ru/article/314,https://kudos.pifakit.ru/uploads/article_photo/image/314/02c73661-34be-49aa-8b15-a1bfc9d98b4f.jpg,nabor_podsvechnikov_montana_zolotoi\01_main.jpg,True
Набор подсвечников Монтана чёрный,nabor_podsvechnikov_montana_chernyi,https://kudos.pifakit.ru/article/315,https://kudos.pifakit.ru/uploads/article_photo/image/315/9451d6ca-362b-4183-af62-c6b4a4b45ae5.jpg,nabor_podsvechnikov_montana_chernyi\01_main.jpg,True
Набор подсвечников Авеса,nabor_podsvechnikov_avesa,https://kudos.pifakit.ru/article/316,https://kudos.pifakit.ru/uploads/article_photo/image/316/bef919d6-81d4-4b08-8bd0-de54ac3656b7.jpg,nabor_podsvechnikov_avesa\01_main.jpg,True
Набор подсвечников Авеса,nabor_podsvechnikov_avesa,https://kudos.pifakit.ru/article/316,https://kudos.pifakit.ru/uploads/article_photo/image/316/61c1116d-0299-460a-a4b5-24b352ae22e7.jpg,nabor_podsvechnikov_avesa\02.jpg,False
Перо страуса 65 см белое,pero_strausa_65_sm_beloe,https://kudos.pifakit.ru/article/317,https://kudos.pifakit.ru/uploads/article_photo/image/317/61da8c02-ee67-4198-b54a-e1b86b778370.jpg,pero_strausa_65_sm_beloe\01_main.jpg,True
Перо страуса 65 см чёрное,pero_strausa_65_sm_chernoe,https://kudos.pifakit.ru/article/318,https://kudos.pifakit.ru/uploads/article_photo/image/318/6635bff9-788d-4a36-8bd9-21aa167d9286.jpg,pero_strausa_65_sm_chernoe\01_main.jpg,True
Перо страуса 45 см белое,pero_strausa_45_sm_beloe,https://kudos.pifakit.ru/article/685,https://kudos.pifakit.ru/uploads/article_photo/image/685/0f3e807e-6ed4-496e-a5e5-3dbb02426310.jpg,pero_strausa_45_sm_beloe\01_main.jpg,True
Стойка под цветы Луми,stoika_pod_tsvety_lumi,https://kudos.pifakit.ru/article/319,https://kudos.pifakit.ru/uploads/article_photo/image/319/e4f82e4d-7d01-425f-87dd-4533f7e58bc7.jpg,stoika_pod_tsvety_lumi\01_main.jpg,True
